               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10366,            0.016362,                   0,             0.50133,             0.19104,             0.23911,            0.064793,            0.078201,           0.0091384,                   0,            0.070448,           0.0032836,           0.0032836
                   1,            0.070789,             0.01718,                   0,             0.31527,                0.48,             0.23636,            0.053405,            0.067916,           0.0067662,                   0,            0.040422,           0.0065907,           0.0065907
                   2,            0.058244,            0.015622,                   0,             0.49477,                0.61,             0.44051,             0.18361,            0.053835,           0.0060351,                   0,            0.010369,           0.0098714,           0.0098714
                   3,            0.051925,            0.014235,                   0,              0.7926,                 0.7,             0.75299,             0.21677,            0.052393,           0.0055086,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,            0.046103,            0.011828,                   0,             0.88823,             0.79469,             0.85986,             0.41581,             0.03967,           0.0047246,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,            0.043646,            0.010267,                   0,             0.90912,                0.92,              0.9692,             0.41598,            0.039802,            0.003845,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,            0.040726,           0.0096394,                   0,             0.94663,             0.88693,             0.96286,             0.38806,            0.039793,           0.0039088,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.038137,           0.0087868,                   0,             0.94753,             0.90297,             0.95965,             0.56459,            0.032551,           0.0038816,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.037878,           0.0083939,                   0,             0.91253,                0.92,             0.93518,             0.52955,            0.032705,           0.0039734,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.037227,           0.0085866,                   0,             0.93677,                0.97,             0.98667,             0.47553,            0.033584,           0.0034476,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.035427,            0.008335,                   0,              0.9501,             0.95209,             0.98182,             0.57994,             0.02784,           0.0034622,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.035884,           0.0081092,                   0,             0.94265,                0.97,             0.97529,             0.61745,            0.029366,           0.0034591,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.035377,           0.0080063,                   0,             0.94962,                0.97,              0.9703,             0.46638,             0.03524,           0.0034773,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.034156,           0.0079323,                   0,             0.94729,                0.98,             0.96365,             0.62205,            0.026556,           0.0032841,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.032267,           0.0078107,                   0,              0.9702,             0.97664,             0.97837,             0.58172,            0.032376,           0.0030311,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,             0.03238,           0.0076647,                   0,              0.9673,                0.96,              0.9808,             0.62074,            0.026479,           0.0032292,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.032054,           0.0074094,                   0,             0.96066,             0.97681,             0.98499,              0.6117,            0.026715,           0.0031376,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.030778,           0.0075546,                   0,             0.98347,                0.98,             0.99317,             0.59882,             0.02812,           0.0031829,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.031415,           0.0072748,                   0,             0.98007,             0.98338,             0.98755,             0.55028,             0.03142,           0.0031205,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.030757,           0.0074532,                   0,             0.98478,                0.98,             0.98155,             0.63095,             0.02552,           0.0031011,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.031374,           0.0072833,                   0,             0.96996,             0.96879,             0.98176,             0.58006,            0.029216,           0.0032217,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.030258,           0.0074027,                   0,             0.93205,                0.99,              0.9748,              0.5457,            0.030306,            0.003106,                   0,            0.009208,            0.009208,            0.009208
                  22,              0.0301,           0.0069893,                   0,             0.96913,                   1,             0.98827,             0.64564,            0.024495,           0.0029178,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.030005,           0.0072963,                   0,             0.96991,             0.96715,             0.98468,             0.59571,            0.026446,           0.0031441,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.028976,           0.0068268,                   0,             0.97706,                0.98,             0.98271,             0.62997,            0.026097,           0.0030443,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.028293,           0.0070565,                   0,             0.96131,              0.9938,             0.99152,             0.66012,            0.026992,           0.0028926,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.028735,           0.0071745,                   0,             0.98989,              0.9793,             0.99292,             0.65707,            0.024953,           0.0029175,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.028482,            0.007019,                   0,             0.96847,                0.98,             0.97963,             0.57736,             0.02801,           0.0029087,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.026941,           0.0068446,                   0,               0.968,                0.96,             0.98965,             0.62671,            0.026478,           0.0029127,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.027415,            0.006934,                   0,             0.97504,                0.96,             0.98242,             0.66369,            0.024861,           0.0030163,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.027973,           0.0065382,                   0,             0.99035,                0.94,             0.98947,             0.65399,            0.025581,            0.002908,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,             0.02731,           0.0067349,                   0,             0.97763,                0.98,             0.99351,             0.66955,            0.026172,           0.0029436,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.026791,           0.0067243,                   0,             0.96555,                0.98,             0.98871,             0.65001,            0.024903,           0.0028756,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.026452,           0.0064691,                   0,             0.98955,             0.94651,             0.97672,             0.62491,            0.025397,           0.0030968,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,             0.02605,            0.006568,                   0,             0.97633,                0.96,             0.98537,             0.63898,            0.024405,           0.0029775,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.026501,           0.0064997,                   0,             0.96116,             0.98979,             0.98809,             0.63076,            0.025465,           0.0029356,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.027002,           0.0065949,                   0,              0.9628,                0.98,             0.99153,             0.64906,             0.02519,           0.0029431,                   0,            0.008614,            0.008614,            0.008614
                  37,            0.026214,           0.0066514,                   0,             0.94287,                0.99,             0.98984,             0.63078,            0.025376,           0.0030601,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.025146,           0.0065234,                   0,             0.95047,                   1,             0.99304,             0.64659,            0.025262,           0.0028528,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.025968,           0.0064808,                   0,              0.9668,                0.96,             0.98647,             0.60316,            0.026454,           0.0030478,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,             0.02508,           0.0061933,                   0,             0.98988,             0.97841,             0.99048,             0.67611,            0.024311,           0.0027401,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.025263,           0.0065692,                   0,              0.9704,                0.94,             0.98392,             0.66336,            0.023886,           0.0029352,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.025345,           0.0066413,                   0,             0.96085,             0.98171,             0.98988,             0.66951,            0.023572,           0.0028467,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.025425,            0.006462,                   0,             0.98979,             0.96916,              0.9926,             0.56104,             0.02832,           0.0029563,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.024842,           0.0063935,                   0,             0.99755,                0.97,              0.9934,             0.58867,            0.026872,           0.0029498,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.024052,           0.0062419,                   0,             0.97824,                0.96,             0.98321,             0.66165,            0.024435,           0.0028545,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.024727,           0.0064054,                   0,             0.98977,             0.96712,             0.99249,             0.67223,            0.023942,           0.0027939,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.024163,           0.0062625,                   0,             0.98707,                0.97,             0.99094,             0.64101,            0.024907,           0.0030124,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,             0.02447,           0.0064552,                   0,             0.96066,                   1,             0.99383,             0.63576,            0.025258,           0.0028357,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.024605,           0.0061616,                   0,             0.98988,             0.97828,             0.99342,             0.61903,            0.026162,           0.0029277,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.024654,           0.0062591,                   0,             0.97056,             0.98889,             0.98943,             0.64025,            0.024678,            0.002952,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.023579,           0.0058943,                   0,             0.97997,              0.9783,             0.98679,             0.60607,            0.026744,           0.0029733,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.023381,           0.0061947,                   0,             0.98562,                0.99,             0.99154,             0.62498,            0.024985,           0.0028528,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.023347,           0.0060296,                   0,             0.98071,                0.99,             0.98491,              0.6336,            0.024905,           0.0028092,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.023883,           0.0060916,                   0,             0.95975,                0.99,             0.99107,             0.64702,            0.024974,           0.0029098,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.023545,           0.0060325,                   0,             0.96107,             0.98763,             0.98927,              0.6477,             0.02485,           0.0028157,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.023363,           0.0063936,                   0,             0.98982,                0.99,             0.99387,             0.65783,            0.025337,           0.0027272,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.022846,           0.0060178,                   0,             0.99491,                0.99,             0.99471,             0.66061,            0.024359,           0.0026311,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.022793,            0.006201,                   0,             0.99688,                0.99,             0.99377,             0.66215,            0.024215,           0.0027626,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.023588,           0.0060587,                   0,                   1,             0.98324,             0.99471,             0.67323,             0.02346,           0.0027025,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.022766,           0.0060135,                   0,             0.95364,                0.96,             0.98064,             0.67807,             0.02447,           0.0029128,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.022301,           0.0057243,                   0,             0.98766,                0.98,             0.99338,             0.67254,            0.022341,           0.0026962,                   0,            0.007624,            0.007624,            0.007624
                  62,             0.02271,           0.0060077,                   0,             0.99002,             0.99192,              0.9949,             0.67924,            0.022832,           0.0026263,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.022062,           0.0058336,                   0,             0.99936,                0.99,             0.99435,             0.67037,            0.022865,           0.0026179,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.022657,           0.0061149,                   0,             0.99597,                0.99,             0.99471,             0.65507,            0.024172,           0.0027071,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.021973,           0.0057795,                   0,                0.99,             0.98987,             0.99372,             0.66748,            0.024464,           0.0027369,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.022099,            0.005906,                   0,              0.9595,                   1,              0.9811,              0.6475,            0.023089,           0.0026382,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.022196,           0.0059746,                   0,             0.97076,             0.99601,             0.99011,             0.64918,             0.02431,           0.0026404,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.021808,            0.005872,                   0,             0.96964,                   1,              0.9936,             0.64283,            0.025375,           0.0026581,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.021049,           0.0056432,                   0,             0.92359,                0.99,             0.98253,             0.67417,            0.022868,           0.0026782,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.021866,            0.005607,                   0,             0.98149,                0.98,             0.99432,             0.65188,            0.025361,           0.0026063,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,            0.021078,           0.0056838,                   0,             0.98012,             0.98599,             0.99309,             0.63387,            0.025546,           0.0027795,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.020738,           0.0056231,                   0,             0.96766,                0.99,             0.99363,             0.64195,            0.025223,           0.0027207,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,            0.021385,           0.0056824,                   0,             0.96038,                   1,             0.98563,             0.65254,            0.024485,           0.0027097,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,            0.020757,            0.005823,                   0,             0.98803,                0.96,             0.99305,             0.64508,            0.025813,           0.0028213,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,            0.020815,           0.0055964,                   0,             0.96593,                0.98,             0.98946,             0.65294,            0.024632,           0.0028332,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,            0.021295,            0.005657,                   0,             0.97078,                0.97,             0.98101,             0.63539,            0.024889,           0.0026658,                   0,             0.00703,             0.00703,             0.00703
                  77,              0.0214,           0.0056301,                   0,             0.98037,             0.99877,             0.99311,             0.64593,             0.02523,            0.002766,                   0,           0.0069904,           0.0069904,           0.0069904
                  78,            0.020698,           0.0056398,                   0,             0.99826,                0.97,             0.99378,             0.64041,             0.02447,           0.0027395,                   0,           0.0069508,           0.0069508,           0.0069508
                  79,            0.020022,           0.0056381,                   0,             0.99452,                0.97,             0.99136,             0.64254,            0.024038,           0.0026989,                   0,           0.0069112,           0.0069112,           0.0069112
                  80,            0.020877,           0.0056098,                   0,             0.98931,                0.97,             0.98758,             0.65208,            0.023711,           0.0028883,                   0,           0.0068716,           0.0068716,           0.0068716
                  81,            0.020965,           0.0055193,                   0,             0.97985,             0.97264,             0.98944,             0.67604,            0.023598,           0.0026892,                   0,            0.006832,            0.006832,            0.006832
                  82,            0.020527,           0.0053912,                   0,             0.98978,             0.96849,             0.98789,              0.6498,            0.025183,           0.0029246,                   0,           0.0067924,           0.0067924,           0.0067924
                  83,            0.020168,           0.0056609,                   0,              0.9898,             0.96997,             0.99411,             0.65334,            0.023805,            0.002764,                   0,           0.0067528,           0.0067528,           0.0067528
                  84,            0.020204,           0.0054078,                   0,             0.98023,             0.99159,              0.9944,             0.64202,            0.023664,           0.0027721,                   0,           0.0067132,           0.0067132,           0.0067132
                  85,             0.01983,           0.0056403,                   0,             0.99984,                0.99,             0.99435,             0.65714,            0.023554,           0.0027019,                   0,           0.0066736,           0.0066736,           0.0066736
                  86,            0.019976,           0.0054065,                   0,             0.98988,             0.97854,             0.99411,             0.65703,            0.023777,           0.0026844,                   0,            0.006634,            0.006634,            0.006634
                  87,            0.020207,           0.0052352,                   0,             0.98855,                0.99,             0.99451,             0.66076,            0.023421,           0.0027462,                   0,           0.0065944,           0.0065944,           0.0065944
                  88,            0.019846,           0.0055122,                   0,             0.98809,                0.99,              0.9948,              0.6704,            0.023676,           0.0028818,                   0,           0.0065548,           0.0065548,           0.0065548
                  89,            0.019739,            0.005366,                   0,             0.98858,                   1,              0.9949,             0.63288,            0.024593,           0.0028074,                   0,           0.0065152,           0.0065152,           0.0065152
                  90,            0.019773,           0.0051951,                   0,             0.98836,                0.99,             0.99452,             0.63893,            0.023619,           0.0027004,                   0,           0.0064756,           0.0064756,           0.0064756
                  91,            0.020013,            0.005346,                   0,             0.99071,                0.96,             0.99364,             0.64286,            0.025218,           0.0027597,                   0,            0.006436,            0.006436,            0.006436
                  92,            0.019698,           0.0052692,                   0,             0.96879,                0.98,             0.99307,             0.65975,            0.023729,           0.0026902,                   0,           0.0063964,           0.0063964,           0.0063964
                  93,            0.019066,           0.0053334,                   0,             0.97582,                   1,             0.99411,             0.66614,             0.02379,           0.0026331,                   0,           0.0063568,           0.0063568,           0.0063568
                  94,            0.020109,           0.0054333,                   0,             0.99745,                0.98,             0.99424,             0.65823,            0.023646,           0.0027258,                   0,           0.0063172,           0.0063172,           0.0063172
                  95,            0.019631,             0.00545,                   0,             0.99758,                0.97,             0.99344,             0.64819,            0.024143,           0.0027719,                   0,           0.0062776,           0.0062776,           0.0062776
                  96,            0.019436,           0.0052973,                   0,             0.97997,             0.97841,             0.99365,             0.67284,            0.023179,           0.0026145,                   0,            0.006238,            0.006238,            0.006238
                  97,            0.018735,           0.0052735,                   0,                   1,             0.98889,             0.99326,             0.64871,            0.023568,           0.0025909,                   0,           0.0061984,           0.0061984,           0.0061984
                  98,             0.01904,           0.0052699,                   0,             0.96859,                0.99,             0.99317,             0.64893,            0.024079,           0.0026667,                   0,           0.0061588,           0.0061588,           0.0061588
                  99,            0.019323,           0.0052342,                   0,              0.9887,                0.97,             0.99258,             0.66213,            0.024179,           0.0027152,                   0,           0.0061192,           0.0061192,           0.0061192
                 100,            0.018905,           0.0051176,                   0,             0.98976,             0.96684,             0.99236,             0.65796,            0.024373,            0.002725,                   0,           0.0060796,           0.0060796,           0.0060796
                 101,            0.018716,           0.0052359,                   0,             0.97996,             0.97818,             0.98767,             0.66907,            0.023064,           0.0026885,                   0,             0.00604,             0.00604,             0.00604
                 102,            0.018248,           0.0050577,                   0,             0.97999,             0.97961,             0.99077,             0.65313,            0.024569,           0.0027784,                   0,           0.0060004,           0.0060004,           0.0060004
                 103,            0.019032,           0.0051016,                   0,             0.98425,                0.98,             0.99302,             0.65393,            0.023439,           0.0027451,                   0,           0.0059608,           0.0059608,           0.0059608
                 104,            0.018042,           0.0051206,                   0,             0.95642,                0.98,             0.99316,             0.65045,            0.024085,             0.00277,                   0,           0.0059212,           0.0059212,           0.0059212
                 105,            0.017859,           0.0050557,                   0,             0.96961,                0.99,             0.99363,             0.65703,            0.023623,           0.0026808,                   0,           0.0058816,           0.0058816,           0.0058816
                 106,            0.018939,           0.0053209,                   0,             0.98639,                   1,              0.9948,             0.61914,            0.025764,           0.0028108,                   0,            0.005842,            0.005842,            0.005842
                 107,            0.017882,            0.005154,                   0,             0.99921,                0.99,              0.9949,             0.65618,            0.024344,           0.0026483,                   0,           0.0058024,           0.0058024,           0.0058024
                 108,            0.018107,           0.0050903,                   0,             0.99007,             0.99707,              0.9948,             0.65131,            0.024316,           0.0026299,                   0,           0.0057628,           0.0057628,           0.0057628
                 109,            0.018491,           0.0051019,                   0,             0.97896,                0.98,             0.99281,              0.6595,            0.024678,           0.0027533,                   0,           0.0057232,           0.0057232,           0.0057232
                 110,             0.01784,           0.0049829,                   0,             0.98011,             0.98548,             0.99385,              0.6563,            0.024837,           0.0027304,                   0,           0.0056836,           0.0056836,           0.0056836
